date,time,stress,smoked
2014-08-19,16:52:38,0.125088,-1
2014-08-19,16:52:39,0.144049,-1
2014-08-19,16:52:41,0.130681,-1
2014-08-19,16:52:42,0.168996,-1
2014-08-19,16:52:43,0.168155,-1
2014-08-19,16:52:44,0.164989,-1
2014-08-19,16:52:45,0.214221,-1
2014-08-19,16:52:46,0.187699,-1
2014-08-19,16:52:47,0.187699,-1
2014-08-19,16:52:48,0.216655,-1
2014-08-19,16:52:49,0.22322,-1
2014-08-19,16:52:50,0.229452,-1
2014-08-19,16:52:51,0.229398,-1
2014-08-19,16:52:52,0.19363,-1
2014-08-19,16:52:53,0.200334,-1
2014-08-19,16:52:54,0.231477,-1
2014-08-19,16:52:56,0.289748,-1
2014-08-19,16:52:57,0.273746,-1
2014-08-19,16:52:58,0.266254,-1
2014-08-19,16:52:59,0.285393,-1
2014-08-19,16:53:00,0.171405,-1
2014-08-19,16:53:01,0.176136,-1
2014-08-19,16:53:02,0.196324,-1
2014-08-19,16:53:03,0.226492,-1
2014-08-19,16:53:04,0.245827,-1
2014-08-19,16:53:05,0.244962,-1
2014-08-19,16:53:06,0.239004,-1
2014-08-19,16:53:07,0.203416,-1
2014-08-19,16:53:08,0.196906,-1
2014-08-19,16:53:09,0.162858,-1
2014-08-19,16:53:10,0.236334,-1
2014-08-19,16:53:11,0.238794,-1
2014-08-19,16:53:12,0.248468,-1
2014-08-19,16:53:13,0.289791,-1
2014-08-19,16:53:14,0.299845,-1
2014-08-19,16:53:15,0.302505,-1
2014-08-19,16:53:16,0.304548,-1
2014-08-19,16:53:17,0.302008,-1
2014-08-19,16:53:18,0.312973,-1
2014-08-19,16:53:19,0.347285,-1
2014-08-19,16:53:20,0.343005,-1
2014-08-19,16:53:21,0.270662,-1
2014-08-19,16:53:22,0.30575,-1
2014-08-19,16:53:23,0.253713,-1
2014-08-19,16:53:24,0.260544,-1
2014-08-19,16:53:25,0.23957,-1
2014-08-19,16:53:26,0.242487,-1
2014-08-19,16:53:27,0.22484,-1
2014-08-19,16:53:28,0.227349,-1
2014-08-19,16:53:29,0.257648,-1
2014-08-19,16:53:30,0.254256,-1
2014-08-19,16:53:31,0.271261,-1
2014-08-19,16:53:32,0.252544,-1
2014-08-19,16:53:33,0.251342,-1
2014-08-19,16:53:34,0.262086,-1
2014-08-19,16:53:35,0.264372,-1
2014-08-19,16:53:36,0.258622,-1
2014-08-19,16:53:37,0.241217,-1
2014-08-19,16:53:38,0.269446,-1
2014-08-19,16:53:39,0.240912,-1
2014-08-19,16:53:40,0.256679,-1
2014-08-19,16:53:41,0.255556,-1
2014-08-19,16:53:42,0.207387,-1
2014-08-19,16:53:43,0.209956,-1
2014-08-19,16:53:44,0.213017,-1
2014-08-19,16:53:45,0.244802,-1
2014-08-19,16:53:46,0.25398,-1
2014-08-19,16:53:47,0.202414,-1
2014-08-19,16:53:48,0.225875,-1
2014-08-19,16:53:49,0.227811,-1
2014-08-19,16:53:50,0.242906,-1
2014-08-19,16:53:51,0.244821,-1
2014-08-19,16:53:52,0.260194,-1
2014-08-19,16:53:53,0.251422,-1
2014-08-19,16:53:54,0.191411,-1
2014-08-19,16:53:55,0.196985,-1
2014-08-19,16:53:56,0.20419,-1
2014-08-19,16:53:57,0.183552,-1
2014-08-19,16:53:58,0.191647,-1
2014-08-19,16:53:59,0.157263,-1
2014-08-19,16:54:00,0.254806,-1
2014-08-19,16:54:01,0.24718,-1
2014-08-19,16:54:02,0.229499,-1
2014-08-19,16:54:03,0.169427,-1
2014-08-19,16:54:04,0.178956,-1
2014-08-19,16:54:05,0.207895,-1
2014-08-19,16:54:06,0.170239,-1
2014-08-19,16:54:07,0.172153,-1
2014-08-19,16:55:56,0.112008,-1
2014-08-19,16:55:57,0.123745,-1
2014-08-19,16:55:58,0.110148,-1
2014-08-19,16:55:59,0.106418,-1
2014-08-19,16:56:00,0.106419,-1
2014-08-19,16:56:01,0.111842,-1
2014-08-19,16:56:02,0.10308,-1
2014-08-19,16:56:03,0.110977,-1
2014-08-19,16:56:04,0.154628,-1
2014-08-19,16:56:05,0.129276,-1
2014-08-19,16:56:07,0.117505,-1
2014-08-19,16:56:08,0.116033,-1
2014-08-19,16:56:12,0.128784,-1
2014-08-19,16:56:16,0.104262,-1
2014-08-19,16:56:17,0.116291,-1
2014-08-19,16:56:18,0.116094,-1
2014-08-19,16:56:19,0.116959,-1
2014-08-19,16:56:21,0.124436,-1
2014-08-19,16:56:22,0.153181,-1
2014-08-19,16:56:23,0.151306,-1
2014-08-19,16:56:24,0.145863,-1
2014-08-19,16:56:25,0.138374,-1
2014-08-19,16:56:26,0.139779,-1
2014-08-19,16:56:27,0.140658,-1
2014-08-19,16:56:28,0.116401,-1
2014-08-19,16:56:29,0.134604,-1
2014-08-19,16:56:30,0.125368,-1
2014-08-19,16:56:31,0.150252,-1
2014-08-19,16:56:33,0.1703,-1
2014-08-19,16:56:34,0.166718,-1
2014-08-19,16:56:35,0.167388,-1
2014-08-19,16:56:36,0.158986,-1
2014-08-19,16:56:37,0.158299,-1
2014-08-19,16:56:38,0.156999,-1
2014-08-19,16:56:39,0.169873,-1
2014-08-19,17:00:26,0.111124,-1
2014-08-19,17:00:27,0.107748,-1
2014-08-19,17:00:28,0.104664,-1
2014-08-19,17:00:31,0.126765,-1
2014-08-19,17:00:32,0.109395,-1
2014-08-19,17:00:33,0.125479,-1
2014-08-19,17:00:34,0.173891,-1
2014-08-19,17:00:35,0.182074,-1
2014-08-19,17:00:36,0.187759,-1
2014-08-19,17:00:37,0.15671,-1
2014-08-19,17:00:38,0.164482,-1
2014-08-19,17:00:39,0.18376,-1
2014-08-19,17:00:40,0.176569,-1
2014-08-19,17:00:41,0.173243,-1
2014-08-19,17:01:08,0.24148,-1
2014-08-19,17:01:09,0.262543,-1
2014-08-19,17:01:12,0.182864,-1
2014-08-19,17:01:14,0.190881,-1
2014-08-19,17:01:15,0.186683,-1
2014-08-19,17:01:16,0.16371,-1
2014-08-19,17:01:17,0.157541,-1
2014-08-19,17:01:18,0.156331,-1
2014-08-19,17:01:19,0.167514,-1
2014-08-19,17:01:20,0.165855,-1
2014-08-19,17:01:21,0.147272,-1
2014-08-19,17:01:22,0.12537,-1
2014-08-19,17:01:24,0.130718,-1
2014-08-19,17:01:25,0.135711,-1
2014-08-19,17:01:26,0.107128,-1
2014-08-19,17:01:27,0.112756,-1
2014-08-19,17:01:29,0.111531,-1
2014-08-19,17:01:31,0.110523,-1
2014-08-19,17:01:32,0.109698,-1
2014-08-19,17:01:33,0.100276,-1
2014-08-19,17:01:50,0.125155,-1
2014-08-19,17:01:51,0.129609,-1
2014-08-19,17:01:52,0.161159,-1
2014-08-19,17:01:54,0.160467,-1
2014-08-19,17:01:55,0.158153,-1
2014-08-19,17:01:56,0.177047,-1
2014-08-19,17:01:57,0.141517,-1
2014-08-19,17:01:58,0.140851,-1
2014-08-19,17:01:59,0.130957,-1
2014-08-19,17:02:00,0.123162,-1
2014-08-19,17:02:03,0.108165,-1
2014-08-19,17:02:04,0.130459,-1
2014-08-19,17:02:05,0.131943,-1
2014-08-19,17:02:06,0.131824,-1
2014-08-19,17:02:07,0.142393,-1
2014-08-19,17:02:08,0.132928,-1
2014-08-19,17:02:09,0.138526,-1
2014-08-19,17:02:11,0.104108,-1
2014-08-19,17:02:12,0.112753,-1
2014-08-19,17:02:13,0.132019,-1
2014-08-19,17:02:14,0.122176,-1
2014-08-19,17:02:15,0.110408,-1
2014-08-19,17:02:16,0.121113,-1
2014-08-19,17:02:17,0.141666,-1
2014-08-19,17:02:18,0.134341,-1
2014-08-19,17:02:20,0.135167,-1
2014-08-19,17:02:21,0.159735,-1
2014-08-19,17:02:22,0.162564,-1
2014-08-19,17:02:23,0.153892,-1
2014-08-19,17:02:24,0.154705,-1
2014-08-19,17:02:25,0.112942,-1
2014-08-19,17:02:26,0.101969,-1
2014-08-19,17:02:27,0.103347,-1
2014-08-19,17:02:28,0.107841,-1
2014-08-19,17:02:29,0.123143,-1
2014-08-19,17:02:30,0.122794,-1
2014-08-19,17:02:31,0.125743,-1
2014-08-19,17:02:32,0.10605,-1
2014-08-19,17:02:34,0.123508,-1
2014-08-19,17:02:35,0.121843,-1
2014-08-19,17:02:36,0.12104,-1
2014-08-19,17:02:37,0.10856,-1
2014-08-19,17:02:38,0.135983,-1
2014-08-19,17:02:39,0.143037,-1
2014-08-19,17:02:40,0.180075,-1
2014-08-19,17:02:41,0.126261,-1
2014-08-19,17:02:42,0.122805,-1
2014-08-19,17:02:43,0.131436,-1
2014-08-19,17:02:44,0.132111,-1
2014-08-19,17:02:45,0.127983,-1
2014-08-19,17:02:46,0.123506,-1
2014-08-19,17:02:47,0.123626,-1
2014-08-19,17:02:48,0.118863,-1
2014-08-19,17:02:49,0.114906,-1
2014-08-19,17:02:50,0.11826,-1
2014-08-19,17:02:51,0.128552,-1
2014-08-19,17:02:52,0.118277,-1
2014-08-19,17:02:53,0.113338,-1
